fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,Id
9.1,0.4,0.5,1.8,0.071,16,0.99462,3.21,0.69,12.5,1061
8,0.38,0.44,1.9,0.098,15,0.9956,3.3,0.64,11.4,1062
10.2,0.29,0.65,2.4,0.075,17,0.99565,3.22,0.63,11.8,1063
8.2,0.74,0.09,2,0.067,10,0.99418,3.28,0.57,11.8,1064
7.7,0.61,0.18,2.4,0.083,20,0.9963,3.29,0.6,10.2,1065
6.6,0.52,0.08,2.4,0.07,26,0.99358,3.4,0.72,12.5,1066
11.1,0.31,0.53,2.2,0.06,10,0.99572,3.02,0.83,10.9,1067
8,0.62,0.35,2.8,0.086,52,0.997,3.31,0.62,10.8,1069
9.3,0.33,0.45,1.5,0.057,37,0.99498,3.18,0.89,11.1,1070
7.5,0.77,0.2,8.1,0.098,92,0.99892,3.2,0.58,9.2,1071
8,0.62,0.33,2.7,0.088,37,0.9972,3.31,0.58,10.7,1073
9.9,0.32,0.56,2,0.073,8,0.99534,3.15,0.73,11.4,1076
8.6,0.37,0.65,6.4,0.08,8,0.99817,3.27,0.58,11,1078
7.9,0.3,0.68,8.3,0.05,278,0.99316,3.01,0.51,12.3,1079
7.9,0.3,0.68,8.3,0.05,289,0.99316,3.01,0.51,12.3,1081
7.2,0.38,0.3,1.8,0.073,70,0.99685,3.42,0.59,9.5,1082
8.7,0.42,0.45,2.4,0.072,59,0.99617,3.33,0.77,12,1083
6.8,0.48,0.08,1.8,0.074,64,0.99529,3.12,0.49,9.6,1085
8.5,0.34,0.4,4.7,0.055,9,0.99738,3.38,0.66,11.6,1086
7.9,0.19,0.42,1.6,0.057,30,0.994,3.29,0.69,11.2,1087
11.6,0.41,0.54,1.5,0.095,41,0.99735,3.02,0.76,9.9,1088
11.6,0.41,0.54,1.5,0.095,41,0.99735,3.02,0.76,9.9,1089
10,0.26,0.54,1.9,0.083,74,0.99451,2.98,0.63,11.8,1090
7.9,0.34,0.42,2,0.086,19,0.99546,3.35,0.6,11.4,1091
7,0.54,0.09,2,0.081,16,0.99479,3.43,0.59,11.5,1092
9.2,0.31,0.36,2.2,0.079,31,0.99615,3.33,0.86,12,1093
6.6,0.725,0.09,5.5,0.117,17,0.99655,3.35,0.49,10.8,1094
6.6,0.725,0.09,5.5,0.117,17,0.99655,3.35,0.49,10.8,1096
8.6,0.52,0.38,1.5,0.096,18,0.99666,3.2,0.52,9.4,1099
8.4,0.34,0.42,2.1,0.072,36,0.99392,3.11,0.78,12.4,1100
7.4,0.49,0.27,2.1,0.071,25,0.99388,3.35,0.63,12,1101
7.4,0.49,0.27,2.1,0.071,25,0.99388,3.35,0.63,12,1103
8,0.48,0.34,2.2,0.073,25,0.9936,3.28,0.66,12.4,1104
6.3,0.57,0.28,2.1,0.048,49,0.99374,3.41,0.6,12.8,1105
9.1,0.3,0.41,2,0.068,24,0.99523,3.27,0.85,11.7,1107
8.1,0.78,0.1,3.3,0.09,13,0.99855,3.36,0.49,9.5,1108
10.8,0.47,0.43,2.1,0.171,66,0.9982,3.17,0.76,10.8,1109
8.3,0.53,0,1.4,0.07,14,0.99593,3.25,0.64,10,1110
5.4,0.42,0.27,2,0.092,55,0.99471,3.78,0.64,12.3,1111
7.9,0.33,0.41,1.5,0.056,35,0.99396,3.29,0.71,11,1112
5,0.4,0.5,4.3,0.046,80,0.9902,3.49,0.66,13.6,1114
7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,1115
7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,1116
7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,1117
7.1,0.39,0.12,2.1,0.065,24,0.99252,3.3,0.53,13.3,1118
5.6,0.66,0,2.5,0.066,15,0.99256,3.52,0.58,12.9,1119
7.9,0.54,0.34,2.5,0.076,17,0.99235,3.2,0.72,13.1,1120
6.3,0.47,0,1.4,0.055,33,0.9922,3.45,0.48,12.3,1122
8.8,0.24,0.35,1.7,0.055,27,0.99394,3.14,0.59,11.3,1125
6.3,0.76,0,2.9,0.072,52,0.99379,3.51,0.6,11.5,1127
10,0.43,0.33,2.7,0.095,89,0.9984,3.22,0.68,10,1128
9.1,0.6,0,1.9,0.058,10,0.9977,3.18,0.63,10.4,1130
7.4,0.36,0.34,1.8,0.075,38,0.9933,3.38,0.88,13.6,1132
7.2,0.48,0.07,5.5,0.089,18,0.99684,3.37,0.68,11.2,1133
8.5,0.28,0.35,1.7,0.061,15,0.99524,3.3,0.74,11.8,1134
8,0.25,0.43,1.7,0.067,50,0.9946,3.38,0.6,11.9,1135
10.4,0.52,0.45,2,0.08,13,0.99774,3.22,0.76,11.4,1136
7.5,0.41,0.15,3.7,0.104,94,0.99786,3.14,0.58,9.1,1138
8.2,0.51,0.24,2,0.079,86,0.99764,3.34,0.64,9.5,1139
7.3,0.4,0.3,1.7,0.08,79,0.9969,3.41,0.65,9.5,1140
8.2,0.38,0.32,2.5,0.08,71,0.99624,3.27,0.85,11,1141
6.9,0.45,0.11,2.4,0.043,12,0.99354,3.3,0.65,11.4,1142
7,0.22,0.3,1.8,0.065,20,0.99672,3.61,0.82,10,1143
7.3,0.32,0.23,2.3,0.066,70,0.99588,3.43,0.62,10.1,1144
8.2,0.2,0.43,2.5,0.076,51,0.99672,3.53,0.81,10.4,1145
7.8,0.5,0.12,1.8,0.178,21,0.996,3.28,0.87,9.8,1146
10,0.41,0.45,6.2,0.071,14,0.99702,3.21,0.49,11.8,1147
7.8,0.39,0.42,2,0.086,21,0.99526,3.39,0.66,11.6,1148
10,0.35,0.47,2,0.061,11,0.99585,3.23,0.52,12,1149
6.1,0.58,0.23,2.5,0.044,70,0.99352,3.46,0.65,12.5,1151
8.3,0.6,0.25,2.2,0.118,38,0.99616,3.15,0.53,9.8,1152
9.6,0.42,0.35,2.1,0.083,38,0.99622,3.23,0.66,11.1,1153
8.3,0.6,0.25,2.2,0.118,38,0.99616,3.15,0.53,9.8,1155
8.5,0.18,0.51,1.75,0.071,88,0.99524,3.33,0.76,11.8,1156
5.1,0.51,0.18,2.1,0.042,101,0.9924,3.46,0.87,12.9,1157
8.5,0.32,0.42,2.3,0.075,19,0.99434,3.14,0.71,11.8,1162
9,0.785,0.24,1.7,0.078,21,0.99692,3.29,0.67,10,1164
8.2,0.33,0.39,2.5,0.074,48,0.99528,3.32,0.88,12.4,1167
6.5,0.34,0.27,2.8,0.067,44,0.99384,3.21,0.56,12,1168
7.6,0.5,0.29,2.3,0.086,14,0.99502,3.32,0.62,11.5,1169
9.2,0.36,0.34,1.6,0.062,12,0.99667,3.2,0.67,10.5,1170
9.7,0.42,0.46,2.1,0.074,16,0.99649,3.27,0.74,12.3,1172
7.6,0.36,0.31,1.7,0.079,65,0.99716,3.46,0.62,9.5,1173
7.6,0.36,0.31,1.7,0.079,65,0.99716,3.46,0.62,9.5,1174
6.5,0.61,0,2.2,0.095,59,0.99541,3.61,0.7,11.5,1175
6.5,0.88,0.03,5.6,0.079,47,0.99572,3.58,0.5,11.2,1176
5.6,0.915,0,2.1,0.041,78,0.99346,3.68,0.73,11.4,1178
8.2,0.35,0.33,2.4,0.076,47,0.99599,3.27,0.81,11,1179
9.8,0.39,0.43,1.65,0.068,11,0.99478,3.19,0.46,11.4,1181
6.8,0.66,0.07,1.6,0.07,61,0.99572,3.29,0.6,9.3,1183
6.7,0.64,0.23,2.1,0.08,119,0.99538,3.36,0.7,10.9,1184
6.7,0.64,0.23,2.1,0.08,119,0.99538,3.36,0.7,10.9,1188
8.8,0.955,0.05,1.8,0.075,19,0.99616,3.3,0.44,9.6,1189
9.1,0.4,0.57,4.6,0.08,20,0.99652,3.28,0.57,12.5,1190
6.5,0.885,0,2.3,0.166,12,0.99551,3.56,0.51,10.8,1191
7.2,0.25,0.37,2.5,0.063,41,0.99439,3.52,0.8,12.4,1192
7,0.745,0.12,1.8,0.114,64,0.99588,3.22,0.59,9.5,1194
6.2,0.43,0.22,1.8,0.078,56,0.99633,3.52,0.6,9.5,1195
7.7,0.57,0.21,1.5,0.069,9,0.99458,3.16,0.54,9.8,1197
7.7,0.26,0.26,2,0.052,77,0.9951,3.15,0.79,10.9,1198
7.9,0.58,0.23,2.3,0.076,94,0.99686,3.21,0.58,9.5,1199
7.7,0.57,0.21,1.5,0.069,9,0.99458,3.16,0.54,9.8,1200
7.9,0.34,0.36,1.9,0.065,10,0.99419,3.27,0.54,11.2,1201
8.6,0.42,0.39,1.8,0.068,12,0.99516,3.35,0.69,11.7,1202
9.9,0.74,0.19,5.8,0.111,76,0.99878,3.14,0.55,9.4,1203
7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,1204
7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,1206
9.9,0.72,0.55,1.7,0.136,52,0.99752,3.35,0.94,10,1207
7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,1208
6.2,0.39,0.43,2,0.071,24,0.99428,3.45,0.87,11.2,1209
6.8,0.65,0.02,2.1,0.078,15,0.99498,3.35,0.62,10.4,1210
6.8,0.65,0.02,2.1,0.078,15,0.99498,3.35,0.62,10.4,1212
10.2,0.33,0.46,1.9,0.081,9,0.99628,3.1,0.48,10.4,1214
7.9,0.57,0.31,2,0.079,79,0.99677,3.29,0.69,9.5,1216
9,0.39,0.4,1.3,0.044,50,0.99478,3.2,0.83,10.9,1219
10.9,0.32,0.52,1.8,0.132,44,0.99734,3.28,0.77,11.5,1220
10.9,0.32,0.52,1.8,0.132,44,0.99734,3.28,0.77,11.5,1221
12.6,0.39,0.49,2.5,0.08,20,0.9992,3.07,0.82,10.3,1224
9.2,0.46,0.23,2.6,0.091,77,0.99922,3.15,0.51,9.4,1225
7.5,0.58,0.03,4.1,0.08,46,0.99592,3.02,0.47,9.2,1226
9,0.58,0.25,2,0.104,21,0.99769,3.27,0.72,9.6,1227
5.1,0.42,0,1.8,0.044,88,0.99157,3.68,0.73,13.6,1228
7.6,0.43,0.29,2.1,0.075,66,0.99718,3.4,0.64,9.5,1229
7.7,0.18,0.34,2.7,0.066,58,0.9947,3.37,0.78,11.8,1230
7.8,0.815,0.01,2.6,0.074,90,0.99621,3.38,0.62,10.8,1231
7.6,0.43,0.29,2.1,0.075,66,0.99718,3.4,0.64,9.5,1232
7.1,0.75,0.01,2.2,0.059,18,0.99242,3.39,0.4,12.8,1234
7.8,0.55,0,1.7,0.07,17,0.99659,3.26,0.64,9.4,1236
7.1,0.75,0.01,2.2,0.059,18,0.99242,3.39,0.4,12.8,1237
8.1,0.73,0,2.5,0.081,24,0.99798,3.38,0.46,9.6,1238
6.5,0.67,0,4.3,0.057,20,0.99488,3.45,0.56,11.8,1239
7.5,0.61,0.2,1.7,0.076,60,0.99494,3.1,0.4,9.3,1240
8.3,0.56,0.22,2.4,0.082,86,0.9983,3.37,0.62,9.5,1243
7.4,0.55,0.19,1.8,0.082,34,0.99655,3.49,0.68,10.5,1245
7.4,0.74,0.07,1.7,0.086,48,0.99502,3.12,0.48,10,1246
7.1,0.6,0.01,2.3,0.079,37,0.99514,3.4,0.61,10.9,1250
7.5,0.58,0.14,2.2,0.077,60,0.9963,3.28,0.59,9.8,1251
7.1,0.72,0,1.8,0.123,14,0.99627,3.45,0.58,9.8,1252
7.9,0.66,0,1.4,0.096,13,0.99569,3.43,0.58,9.5,1253
7.8,0.7,0.06,1.9,0.079,35,0.99628,3.4,0.69,10.9,1254
7.5,0.59,0.22,1.8,0.082,60,0.99499,3.1,0.42,9.2,1256
7,0.58,0.28,4.8,0.085,69,0.99633,3.32,0.7,11,1257
6.8,0.64,0,2.7,0.123,33,0.99538,3.44,0.63,11.3,1258
8.6,0.635,0.68,1.8,0.403,56,0.99632,3.02,1.15,9.3,1260
6.3,1.02,0,2,0.083,24,0.99437,3.59,0.55,11.2,1261
9.8,0.45,0.38,2.5,0.081,66,0.99726,3.15,0.58,9.8,1262
8.5,0.37,0.32,1.8,0.066,51,0.99456,3.38,0.72,11.8,1264
7.2,0.57,0.05,2.3,0.081,36,0.99564,3.38,0.6,10.3,1265
7.2,0.57,0.05,2.3,0.081,36,0.99564,3.38,0.6,10.3,1266
10.4,0.43,0.5,2.3,0.068,19,0.996,3.1,0.87,11.4,1267
6.9,0.41,0.31,2,0.079,51,0.99668,3.47,0.55,9.5,1268
5,0.38,0.01,1.6,0.048,60,0.99084,3.7,0.75,14,1270
7.3,0.44,0.2,1.6,0.049,64,0.9935,3.38,0.57,11.7,1271
5.9,0.46,0,1.9,0.077,44,0.99385,3.5,0.53,11.2,1272
7.5,0.58,0.2,2,0.073,44,0.99494,3.1,0.43,9.3,1273
7.8,0.58,0.13,2.1,0.102,36,0.9944,3.24,0.53,11.2,1274
8,0.715,0.22,2.3,0.075,81,0.99688,3.24,0.54,9.5,1275
8.5,0.4,0.4,6.3,0.05,10,0.99566,3.28,0.56,12,1276
7,0.69,0,1.9,0.114,10,0.99636,3.35,0.6,9.7,1277
8,0.715,0.22,2.3,0.075,81,0.99688,3.24,0.54,9.5,1278
9.8,0.3,0.39,1.7,0.062,9,0.9948,3.14,0.57,11.5,1279
7.1,0.46,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,1280
7.1,0.46,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,1281
7.9,0.765,0,2,0.084,22,0.99619,3.33,0.68,10.9,1282
8.7,0.63,0.28,2.7,0.096,69,0.99734,3.26,0.63,10.2,1283
7,0.42,0.19,2.3,0.071,36,0.99476,3.39,0.56,10.9,1284
11.3,0.37,0.5,1.8,0.09,47,0.99734,3.15,0.57,10.5,1285
7,0.6,0.3,4.5,0.068,110,0.99914,3.3,1.17,10.2,1288
7,0.6,0.3,4.5,0.068,110,0.99914,3.3,1.17,10.2,1289
7.6,0.74,0,1.9,0.1,12,0.99521,3.36,0.59,11,1290
8.2,0.635,0.1,2.1,0.073,60,0.99638,3.29,0.75,10.9,1291
5.9,0.395,0.13,2.4,0.056,28,0.99362,3.62,0.67,12.4,1292
6.6,0.63,0,4.3,0.093,77.5,0.99558,3.2,0.45,9.5,1296
7.2,0.53,0.14,2.1,0.064,29,0.99323,3.35,0.61,12.1,1297
5.7,0.6,0,1.4,0.063,18,0.99191,3.45,0.56,12.2,1298
7.6,1.58,0,2.1,0.137,9,0.99476,3.5,0.4,10.9,1299
5.2,0.645,0,2.15,0.08,28,0.99444,3.78,0.61,12.5,1300
6.7,0.86,0.07,2,0.1,57,0.99598,3.6,0.74,11.7,1301
9.1,0.37,0.32,2.1,0.064,15,0.99576,3.3,0.8,11.2,1302
7.6,0.79,0.21,2.3,0.087,68,0.9955,3.12,0.44,9.2,1304
7.5,0.61,0.26,1.9,0.073,88,0.99612,3.3,0.53,9.8,1305
9.7,0.69,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,1306
7,0.62,0.1,1.4,0.071,63,0.996,3.28,0.61,9.2,1309
6.5,0.51,0.15,3,0.064,27,0.9929,3.33,0.59,12.8,1311
8,1.18,0.21,1.9,0.083,41,0.99532,3.34,0.47,10.5,1312
7.5,0.63,0.27,2,0.083,91,0.99616,3.26,0.58,9.8,1315
5.4,0.74,0,1.2,0.041,46,0.99258,4.01,0.59,12.5,1316
9.1,0.76,0.68,1.7,0.414,64,0.99652,2.9,1.33,9.1,1319
5,0.74,0,1.2,0.041,46,0.99258,4.01,0.59,12.5,1321
9.1,0.34,0.42,1.8,0.058,18,0.99392,3.18,0.55,11.4,1322
6.7,0.46,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,1324
6.7,0.46,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,1325
6.7,0.46,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,1326
6.7,0.46,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,1327
6.5,0.52,0.11,1.8,0.073,38,0.9955,3.34,0.52,9.3,1328
7.4,0.6,0.26,2.1,0.083,91,0.99616,3.29,0.56,9.8,1329
7.4,0.6,0.26,2.1,0.083,91,0.99616,3.29,0.56,9.8,1330
7.8,0.87,0.26,3.8,0.107,67,0.99668,3.26,0.46,9.2,1331
8.4,0.39,0.1,1.7,0.075,25,0.99581,3.09,0.43,9.7,1332
9.1,0.775,0.22,2.2,0.079,48,0.9976,3.18,0.51,9.6,1333
7.2,0.835,0,2,0.166,11,0.99608,3.39,0.52,10,1334
6.6,0.58,0.02,2.4,0.069,40,0.99387,3.38,0.66,12.6,1335
6,0.5,0,1.4,0.057,26,0.99448,3.36,0.45,9.5,1336
6,0.5,0,1.4,0.057,26,0.99448,3.36,0.45,9.5,1337
6,0.5,0,1.4,0.057,26,0.99448,3.36,0.45,9.5,1338
7.5,0.51,0.02,1.7,0.084,31,0.99538,3.36,0.54,10.5,1339
7.5,0.51,0.02,1.7,0.084,31,0.99538,3.36,0.54,10.5,1340
7.5,0.51,0.02,1.7,0.084,31,0.99538,3.36,0.54,10.5,1341
7.5,0.51,0.02,1.7,0.084,31,0.99538,3.36,0.54,10.5,1343
11.5,0.42,0.48,2.6,0.077,20,0.99852,3.09,0.53,11,1344
8.2,0.44,0.24,2.3,0.063,28,0.99613,3.25,0.53,10.2,1345
6.1,0.59,0.01,2.1,0.056,13,0.99472,3.52,0.56,11.4,1346
7.2,0.655,0.03,1.8,0.078,12,0.99587,3.34,0.39,9.5,1347
7.2,0.62,0.01,2.3,0.065,46,0.99332,3.32,0.51,11.8,1351
7.6,0.645,0.03,1.9,0.086,57,0.9969,3.37,0.46,10.3,1353
6.1,0.32,0.25,1.8,0.086,32,0.99464,3.36,0.44,10.1,1355
6.1,0.34,0.25,1.8,0.084,28,0.99464,3.36,0.44,10.1,1356
7.3,0.43,0.24,2.5,0.078,67,0.99648,3.6,0.59,11.1,1357
7.4,0.64,0.17,5.4,0.168,98,0.99736,3.28,0.5,9.5,1358
11.6,0.475,0.4,1.4,0.091,28,0.99704,3.07,0.65,10.03333333,1359
8.3,0.85,0.14,2.5,0.093,54,0.99724,3.36,0.54,10.1,1361
11.6,0.475,0.4,1.4,0.091,28,0.99704,3.07,0.65,10.03333333,1362
7.2,0.605,0.02,1.9,0.096,31,0.995,3.46,0.53,11.8,1364
7.3,0.74,0.08,1.7,0.094,45,0.99576,3.24,0.5,9.8,1366
6.9,0.54,0.3,2.2,0.088,105,0.99725,3.25,1.18,10.5,1367
8,0.77,0.32,2.1,0.079,74,0.99656,3.27,0.5,9.8,1368
8.7,0.78,0.51,1.7,0.415,66,0.99623,3,1.17,9.2,1370
7.5,0.58,0.56,3.1,0.153,14,0.99476,3.21,1.03,11.6,1371
8.7,0.78,0.51,1.7,0.415,66,0.99623,3,1.17,9.2,1372
8.2,0.885,0.2,1.4,0.086,31,0.9946,3.11,0.46,10,1376
7.2,0.45,0.15,2,0.078,28,0.99609,3.29,0.51,9.9,1378
7.5,0.57,0.02,2.6,0.077,35,0.99557,3.36,0.62,10.8,1379
7.5,0.57,0.02,2.6,0.077,35,0.99557,3.36,0.62,10.8,1380
8,0.6,0.22,2.1,0.08,105,0.99613,3.3,0.49,9.9,1382
8,0.6,0.22,2.1,0.08,105,0.99613,3.3,0.49,9.9,1383
7.1,0.755,0.15,1.8,0.107,84,0.99593,3.19,0.5,9.5,1384
8,0.81,0.25,3.4,0.076,85,0.99668,3.19,0.42,9.2,1385
7.4,0.64,0.07,1.8,0.1,23,0.9961,3.3,0.58,9.6,1386
6.6,0.64,0.31,6.1,0.083,49,0.99718,3.35,0.68,10.3,1388
6,0.49,0,2.3,0.068,33,0.99292,3.58,0.59,12.5,1390
8,0.64,0.22,2.4,0.094,33,0.99612,3.37,0.58,11,1391
7.1,0.62,0.06,1.3,0.07,12,0.9942,3.17,0.48,9.8,1392
8,0.52,0.25,2,0.078,59,0.99612,3.3,0.48,10.2,1393
8.6,0.685,0.1,1.6,0.092,12,0.99745,3.31,0.65,9.55,1395
8.7,0.675,0.1,1.6,0.09,11,0.99745,3.31,0.65,9.55,1396
7.3,0.59,0.26,2,0.08,104,0.99584,3.28,0.52,9.9,1397
7.2,0.67,0,2.2,0.068,24,0.9956,3.42,0.72,11.1,1399
7.9,0.69,0.21,2.1,0.08,141,0.9962,3.25,0.51,9.9,1400
7.6,0.3,0.42,2,0.052,24,0.9963,3.44,0.82,11.9,1402
7.2,0.33,0.33,1.7,0.061,13,0.996,3.23,1.1,10,1403
8,0.5,0.39,2.6,0.082,46,0.9985,3.43,0.62,10.7,1404
8.2,0.24,0.34,5.1,0.062,22,0.9974,3.22,0.94,10.9,1406
6,0.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,1407
8.1,0.29,0.36,2.2,0.048,53,0.995,3.27,1.01,12.4,1408
6,0.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,1409
6.6,0.96,0,1.8,0.082,16,0.9936,3.5,0.44,11.9,1410
6.4,0.47,0.4,2.4,0.071,19,0.9963,3.56,0.73,10.6,1411
8.2,0.24,0.34,5.1,0.062,22,0.9974,3.22,0.94,10.9,1412
9.9,0.57,0.25,2,0.104,89,0.9963,3.04,0.9,10.1,1413
10,0.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,1414
6.2,0.58,0,1.6,0.065,18,0.9966,3.56,0.84,9.4,1415
10,0.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,1416
7.3,0.34,0.33,2.5,0.064,37,0.9952,3.35,0.77,12.1,1417
7.8,0.53,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,1418
7.7,0.64,0.21,2.2,0.077,133,0.9956,3.27,0.45,9.9,1419
7.8,0.53,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,1420
7.5,0.4,0.18,1.6,0.079,58,0.9965,3.34,0.58,9.4,1421
7,0.54,0,2.1,0.079,55,0.9956,3.39,0.84,11.4,1422
6.4,0.53,0.09,3.9,0.123,31,0.9968,3.5,0.67,11,1423
7.6,0.41,0.33,2.5,0.078,23,0.9957,3.3,0.58,11.2,1427
7.8,0.64,0,1.9,0.072,55,0.9962,3.31,0.63,11,1428
7.9,0.18,0.4,2.2,0.049,67,0.996,3.33,0.93,11.3,1429
7.4,0.41,0.24,1.8,0.066,47,0.9956,3.37,0.62,10.4,1430
7.6,0.43,0.31,2.1,0.069,74,0.9958,3.26,0.54,9.9,1431
6.1,0.4,0.16,1.8,0.069,25,0.9955,3.42,0.74,10.1,1433
10.2,0.54,0.37,15.4,0.214,95,1.00369,3.18,0.77,9,1434
7.2,0.38,0.31,2,0.056,29,0.99472,3.23,0.76,11.3,1449
7.2,0.37,0.32,2,0.062,28,0.9947,3.23,0.73,11.3,1450
7.8,0.32,0.44,2.7,0.104,17,0.99732,3.33,0.78,11,1451
6.6,0.58,0.02,2,0.062,53,0.99374,3.35,0.76,11.6,1452
11.7,0.45,0.63,2.2,0.073,23,0.99974,3.21,0.69,10.9,1454
6.5,0.9,0,1.6,0.052,17,0.99467,3.5,0.63,10.9,1455
7.6,0.49,0.33,1.9,0.074,85,0.99706,3.41,0.58,9,1457
8.4,0.29,0.4,1.7,0.067,20,0.99603,3.39,0.6,10.5,1458
7.9,0.2,0.35,1.7,0.054,15,0.99458,3.32,0.8,11.9,1459
6.4,0.42,0.09,2.3,0.054,64,0.99724,3.41,0.68,10.4,1460
6.2,0.785,0,2.1,0.06,13,0.99664,3.59,0.61,10,1461
6.9,0.63,0.01,2.4,0.076,39,0.99522,3.34,0.53,10.8,1463
6.8,0.59,0.1,1.7,0.063,53,0.9958,3.41,0.67,9.7,1464
7.3,0.48,0.32,2.1,0.062,54,0.99728,3.3,0.65,10,1466
6.7,1.04,0.08,2.3,0.067,32,0.99648,3.52,0.57,11,1467
7.3,0.48,0.32,2.1,0.062,54,0.99728,3.3,0.65,10,1468
7.3,0.98,0.05,2.1,0.061,49,0.99705,3.31,0.55,9.7,1469
10,0.69,0.11,1.4,0.084,24,0.99578,2.88,0.47,9.7,1470
6.7,0.7,0.08,3.75,0.067,16,0.99334,3.43,0.52,12.6,1471
7.6,0.35,0.6,2.6,0.073,44,0.99656,3.38,0.79,11.1,1472
6.1,0.6,0.08,1.8,0.071,45,0.99336,3.38,0.54,11,1473
9.9,0.5,0.5,13.8,0.205,82,1.00242,3.16,0.75,8.8,1474
5.3,0.47,0.11,2.2,0.048,89,0.99182,3.54,0.88,13.56666667,1475
9.9,0.5,0.5,13.8,0.205,82,1.00242,3.16,0.75,8.8,1476
5.3,0.47,0.11,2.2,0.048,89,0.99182,3.54,0.88,13.6,1477
7.1,0.875,0.05,5.7,0.082,14,0.99808,3.4,0.52,10.2,1478
8.2,0.28,0.6,3,0.104,22,0.99828,3.39,0.68,10.6,1479
5.6,0.62,0.03,1.5,0.08,13,0.99498,3.66,0.62,10.1,1480
8.2,0.28,0.6,3,0.104,22,0.99828,3.39,0.68,10.6,1481
8.1,0.33,0.44,1.5,0.042,12,0.99542,3.35,0.61,10.7,1483
7,0.655,0.16,2.1,0.074,25,0.99606,3.37,0.55,9.7,1485
6.8,0.68,0.21,2.1,0.07,23,0.99546,3.38,0.6,10.3,1486
6,0.64,0.05,1.9,0.066,17,0.99496,3.52,0.78,10.6,1487
5.6,0.54,0.04,1.7,0.049,13,0.9942,3.72,0.58,11.4,1488
7.1,0.22,0.49,1.8,0.039,18,0.99344,3.39,0.56,12.4,1490
6.2,0.65,0.06,1.6,0.05,18,0.99348,3.57,0.54,11.95,1492
7.7,0.54,0.26,1.9,0.089,147,0.99636,3.26,0.59,9.7,1493
6.4,0.31,0.09,1.4,0.066,28,0.99459,3.42,0.7,10,1494
7,0.43,0.02,1.9,0.08,28,0.99492,3.35,0.81,10.6,1495
6.9,0.74,0.03,2.3,0.054,16,0.99508,3.45,0.63,11.5,1497
6.9,0.74,0.03,2.3,0.054,16,0.99508,3.45,0.63,11.5,1499
7.8,0.82,0.29,4.3,0.083,64,0.99642,3.16,0.53,9.4,1501
6.2,0.44,0.39,2.5,0.077,14,0.99555,3.51,0.69,11,1503
7.5,0.38,0.57,2.3,0.106,12,0.99605,3.36,0.55,11.4,1504
6.7,0.76,0.02,1.8,0.078,12,0.996,3.55,0.63,9.95,1505
6.8,0.81,0.05,2,0.07,14,0.99562,3.51,0.66,10.8,1506
7.5,0.38,0.57,2.3,0.106,12,0.99605,3.36,0.55,11.4,1507
7.1,0.27,0.6,2.1,0.074,25,0.99814,3.38,0.72,10.6,1508
7.9,0.18,0.4,1.8,0.062,20,0.9941,3.28,0.7,11.1,1509
6.4,0.36,0.21,2.2,0.047,48,0.99661,3.47,0.77,9.7,1510
7.1,0.69,0.04,2.1,0.068,27,0.99712,3.44,0.67,9.8,1511
6.9,0.84,0.21,4.1,0.074,65,0.99842,3.53,0.72,9.233333333,1514
6.9,0.84,0.21,4.1,0.074,65,0.99842,3.53,0.72,9.25,1515
6.5,0.53,0.06,2,0.063,44,0.99489,3.38,0.83,10.3,1517
7.4,0.47,0.46,2.2,0.114,20,0.99647,3.32,0.63,10.5,1518
6.6,0.7,0.08,2.6,0.106,27,0.99665,3.44,0.58,10.2,1519
6.1,0.32,0.25,2.3,0.071,58,0.99633,3.42,0.97,10.6,1522
6.8,0.48,0.25,2,0.076,61,0.9953,3.34,0.6,10.4,1523
6.7,0.48,0.08,2.1,0.064,34,0.99552,3.33,0.64,9.7,1525
6.8,0.47,0.08,2.2,0.064,38,0.99553,3.3,0.65,9.6,1526
7.9,0.29,0.49,2.2,0.096,59,0.99714,3.31,0.67,10.1,1528
7.1,0.69,0.08,2.1,0.063,52,0.99608,3.42,0.6,10.2,1529
6.6,0.44,0.09,2.2,0.063,18,0.99444,3.42,0.69,11.3,1530
6.1,0.705,0.1,2.8,0.081,28,0.99631,3.6,0.66,10.2,1531
